target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	0.000879264	7.53447e-05
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	0	0
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	15.7337	6.07053
Solyc08g008480.2.1	1106	927	2	0.481975
Solyc01g014103.1.1	1428	1249	3	0.536579
Solyc04g011650.3.1	2656	2477	98	8.83842
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	0	0
Solyc02g087935.1.1	2256	2077	374.958	40.3293
Solyc02g085370.3.1	4460	4281	39.7206	2.07274
Solyc01g095480.3.1	2429	2250	69.8114	6.93137
Solyc05g044580.3.1	629	450	11	5.46078
Solyc02g065220.3.1	3659	3480	121	7.76749
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	0	0
Solyc07g025390.3.1	1666	1487	36	5.40837
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	0	0
Solyc08g016080.3.1	2196	2017	161	17.8318
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	13.8467	4.53561
Solyc04g009610.2.1	353	174	0	0
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	53	3.80217
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	40.253	6.15071
Solyc08g062290.3.1	1120	941	10	2.37402
Solyc11g062120.2.1	3045	2866	14	1.09126
Solyc05g006680.3.1	2159	1980	3	0.338478
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	8	0.796774
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	0	0
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	156	11.7024
